"Part","Value","Attributes","Package","Description","Part Num"
"C3","22PF","","C0603","302010143","*"
"C4","22PF","","C0603","302010143","*"
"IC4","IS62WV10248DALL-55T","","TSOP-II-44","1024k x 8 low voltage, ultra low power CMOS static RAM","*"
"IC5","SST39VF010","","S32","1 Mbit x8 Multi-Purpose Flash","*"
"R2","10K","","R0603","301010299","RC0603FR-0710KL"
"R12","10K","","R0603","301010299","RC0603FR-0710KL"
"R15","4.7K","","R0603","301010290","RC0603JR-074K7L"
"R17","10K","","R0603","301010299","RC0603FR-0710KL"
"R18","10K","","R0603","301010299","RC0603FR-0710KL"
"R19","10K","","R0603","301010299","RC0603FR-0710KL"
"U1","Z8X180PLCC68-S","","PLCC-S68","Zilog Z80S180/Z80L180","*"
"U3","SN74ABTH245DW","","SOIC127P1030X265-20N","OCTAL BUS TRANSCEIVERS","SN74ABTH245DW"
"U4","SN74ABT541BDW","","SOIC127P1030X265-20N","OCTAL BUFFERS/DRIVERS","SN74ABT541BDW"
"X3","FIDUCIAL_0.6-1.2MM","","FIDUCIAL0.6-1.2","","*"
"X4","FIDUCIAL_0.6-1.2MM","","FIDUCIAL0.6-1.2","","*"
"X5","FIDUCIAL_0.6-1.2MM","","FIDUCIAL0.6-1.2","","*"
"X6","FIDUCIAL_0.6-1.2MM","","FIDUCIAL0.6-1.2","","*"
"Y1","25MHZ","","HC49US","306010005","49S"
"C5","2.2UF","","C0603","302010054","CC0603KRX7R6BB225"
"C6","22PF","","C0603","302010143","*"
"IC3","74ACT74D","","SO14","Dual D type positive edge triggered FLIP FLOP, preset and clear","*"
"IC6","ATF16V8BP3","","DIL20","High perfomance CMOS (electrically erasable) programmable logic device (PLD)","ATF16V8CZ-15PU"
"IC7","ATF16V8BP3","","DIL20","High perfomance CMOS (electrically erasable) programmable logic device (PLD)","ATF16V8CZ-15PU"
"IC8","74121D","","SO14","Monostable MULTIVIBRATOR, schmitt trigger inputs","*"
"R5","10K","","R0603","301010299","RC0603FR-0710KL"
"R6","10K","","R0603","301010299","RC0603FR-0710KL"
"R7","10K","","R0603","301010299","RC0603FR-0710KL"
"SW1","SINGLE STEP","","SW4-SMD-4.0X4.0X1.7MM","311020027","*"
"SW2","RESET","","SW4-SMD-4.0X4.0X1.7MM","311020027","*"
"SW3","DIP-SLIDE-SWITCH(3P-11.6X4.0X5.4+2.0MM)-EG1218","","SW3-2.5-11.6X4.0X5.4+2.0MM","311010006","*"
"U21","MAX6817EUT+T","","SOT95P280X145-6N","±15kV ESD-Protected CMOS Switch Debouncers","MAX6817EUT+T"
"U22","TLC7705ID","","SOIC127P600X175-8N","MICROPOWER SUPPLY VOLTAGE SUPERVISOR","TLC7705ID"
"DIS1","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS2","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS3","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS4","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS5","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS6","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS7","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS8","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"DIS9","HTIL311A","","HTIL311A","LED DISPLAY  1-character dot matrix, 2 decimal points","*"
"C1","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C2","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C32","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"D5","SMD-LED-CLEAR-YELLOW(0805)","","LED-0805","304090039","17-215UYC/S530-A3/TR8"
"D6","SMD-LED-CLEAR-GREEN(0805)","","LED-0805","304090057","17-215SYGC/S530-E2/TR8"
"D9","1N4148WS","","SOD323F","1N4148 General Purpose Rectifie","*"
"ESP-01S","2X4P-2.54","","H2X4-2.54","320030087","*"
"IC11","FT232RL","","SSOP28DB","USB UART","*"
"IC12","FT245RL","","SSOP28DB","USB FIFO Controller","*"
"R3","270R","","R0603","301010197","RC0603FR-07270RL"
"R4","270R","","R0603","301010197","RC0603FR-07270RL"
"R9","4.7K","","R0603","301010290","RC0603JR-074K7L"
"R10","10K","","R0603","301010299","RC0603FR-0710KL"
"R11","10K","","R0603","301010299","RC0603FR-0710KL"
"R13","10K","","R0603","301010299","RC0603FR-0710KL"
"R14","4.7K","","R0603","301010290","RC0603JR-074K7L"
"R24","270R","","R0603","301010197","RC0603FR-07270RL"
"X1","ASCI0 - USB","","USB-A-SMT-MALE","USB Connectors","*"
"X2","USB Programmer","","USB-A-SMT-MALE","USB Connectors","*"
"IC1","74LS93D","","SO14","Decade, divide by twelve and binary COUNTER","*"
"IC14","PCA9665","","TSSOP20","IC CNTRLR PARALLEL/I2C 20TSSOP","*"
"IC15","PCA9665","","TSSOP20","IC CNTRLR PARALLEL/I2C 20TSSOP","*"
"J2","I2C Grove 2","","HW4-2.0-90D","320110034","*"
"J3","I2C Grove 1","","HW4-2.0-90D","320110034","*"
"J6","I2C Pinout 1","","1X04","SparkFun has standardized on a pinout for all I2C based sensor breakouts.","*"
"J7","I2C Pinout 2","","1X04","SparkFun has standardized on a pinout for all I2C based sensor breakouts.","*"
"R20","2.2K","","R0603","301010124","RC0603JR-072K2L"
"R21","2.2K","","R0603","301010124","RC0603JR-072K2L"
"R22","2.2K","","R0603","301010124","RC0603JR-072K2L"
"R23","2.2K","","R0603","301010124","RC0603JR-072K2L"
"U2","AM9511A-1","","DIL24-6","","*"
"U7","SN74LVC1G97DCKR","","SOT65P210X110-6N","CONFIGURABLE MULTIPLE-FUNCTION GATE","SN74LVC1G97DCKR"
"!INT_IDE","TPSPAD1-13","","P1-13","TEST PIN","*"
"D8","SMD-LED-CLEAR-RED(0805)","","LED-0805","304090046","17-215SURC/S530-A2/TR8"
"IC9","82c55","","S44","MICROCOMPUTER/PERIPHERAL DEVICE","*"
"IC13","74HCT04D","","SO14","Hex INVERTER","*"
"IDE","87758-4416","","87758-4416","44 Pin - 2mm Dual Row Single Wafer, Vertical T/H HDR","87758-4416"
"R8","270R","","R0603","301010197","RC0603FR-07270RL"
"R16","10K","","R0603","301010299","RC0603FR-0710KL"
"C7","100UF","","ELECTRO-SMD-E-7.8MM","302030095","CS1H101M-CRF10"
"C8","100UF","","ELECTRO-SMD-E-7.8MM","302030095","CS1H101M-CRF10"
"C9","220UF","","AVX-E","302020032","TAJE227K016RNJ"
"C10","220UF","","AVX-E","302020032","TAJE227K016RNJ"
"C11","100UF","","AVX-C","302020023","TAJC107K016RNJ"
"C12","10UF","","C0805","302010178","CC0805KKX5R8BB106"
"C13","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C14","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C15","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C16","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C17","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C18","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C19","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C20","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C21","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C22","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C23","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C24","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C25","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C26","10UF","","C0805","302010178","CC0805KKX5R8BB106"
"C27","10NF","","C0603","302010140","CC0603KRX7R9BB103"
"C28","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C29","10UF","","C0805","302010178","CC0805KKX5R8BB106"
"C30","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"C31","100NF","","C0603","302010138","CC0603KRX7R9BB104"
"D1","60V-1A","","SOD-323","304020026","PMEG6010CEJ,115"
"D2","60V-1A","","SOD-323","304020026","PMEG6010CEJ,115"
"D3","60V-1A","","SOD-323","304020026","PMEG6010CEJ,115"
"D4","60V-1A","","SOD-323","304020026","PMEG6010CEJ,115"
"D7","SMD-LED-CLEAR-RED(0805)","","LED-0805","304090046","17-215SURC/S530-A2/TR8"
"IC10","LM2674AM-12V","","SO08","National Semiconductor 0.5A "Simple Switcher"(c)","*"
"IC17","LM2596S-5V","","TO263-5","SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator","LM2596S-ADJ/NOPB"
"J1","DC-005","","DCJ3P-14.2X11.0X9.0MM","320120003","DC-005"
"L1","33uH","","MSS1260","SMT Power Inductor","*"
"L2","200UH","","SMD-2P-5.0X5.0X2.0MM","303010140","SWPA5020S220MT"
"R1","270R","","R0603","301010197","RC0603FR-07270RL"
"U5","CJ1117-3.3-1310120P1","","SOT89","1A Low Dropout Linear Regulator","*"
